DateID;CustomerID;TotalTimeWatched;Platform;PlayEventType;VideoTitle
20201103;JMCVLXSA196YJ0KC6IDOIEVB000M;480;iOS;Downloads;The Bradshaw Bunch
20201103;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;UCL HL 20/21: Shakhtar v M'gladbach
20201103;JO9Y8ZNQ3MIPC19BLHCE426J005F;540;Leanback;Other;Unmarried
20201103;6PMV67PLJ2S47S68J0Y30XFK003C;120;Leanback;LiveTV;Brave & Beautiful
20201103;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;UCL HL 20/21: Shakhtar v M'gladbach
20201103;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;UCL HL 20/21: Shakhtar v M'gladbach
20201103;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;UCL HL 20/21: Shakhtar v M'gladbach
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;540;Android;Downloads;Bob Hearts Abishola
20201103;JO9Y8ZNQ3MIPC19BLHCE426J005F;60;Leanback;LiveTV;Scandal!
20201103;JO9Y8ZNQ3MIPC19BLHCE426J005F;540;Leanback;Other;Unmarried
20201103;JO9Y8ZNQ3MIPC19BLHCE426J005F;60;Leanback;LiveTV;Scandal!
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;540;Android;Downloads;Bob Hearts Abishola
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;1440;Android;Catch Up;The Da Vinci Code
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;540;Web;Catch Up;Ben Fogle: Return To The Wild
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;60;Web;Catch Up;Jamie: Keep Cooking And Carry On
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;180;Web;Catch Up;Ben Fogle: Return To The Wild
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;540;Web;Catch Up;Jamie: Keep Cooking And Carry On
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;540;Web;Catch Up;Ben Fogle: Return To The Wild
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;180;Android;Catch Up;The Da Vinci Code
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;1440;Android;Catch Up;The Da Vinci Code
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;180;Android;Catch Up;The Da Vinci Code
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;540;Android;Downloads;Bob Hearts Abishola
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;540;Android;Downloads;Bob Hearts Abishola
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;60;Web;Catch Up;Jamie: Keep Cooking And Carry On
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;180;Web;Catch Up;Ben Fogle: Return To The Wild
20201103;DJW8B0Y11C8V99OLJS4LKSXN001H;540;Web;Catch Up;Jamie: Keep Cooking And Carry On
20201103;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;UCL HL 20/21: Shakhtar v M'gladbach
20201103;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;UCL HL 20/21: Shakhtar v M'gladbach
20201103;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;UCL HL 20/21: Shakhtar v M'gladbach
20201103;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;UCL HL 20/21: Shakhtar v M'gladbach
20201103;6PMV67PLJ2S47S68J0Y30XFK003C;120;Leanback;LiveTV;Brave & Beautiful
20201103;IG5651OEAWQLHL0FIZI29EID002M;120;Leanback;LiveTV;American Restoration
20201103;IG5651OEAWQLHL0FIZI29EID002M;120;Leanback;LiveTV;American Restoration
20201103;IG5651OEAWQLHL0FIZI29EID002M;480;Leanback;LiveTV;grand designs
20201103;IG5651OEAWQLHL0FIZI29EID002M;480;Leanback;LiveTV;grand designs
20201103;IG5651OEAWQLHL0FIZI29EID002M;120;Leanback;LiveTV;American Restoration
